City,Zip Code,County,Latitude,Longitude,Municipality,Muni Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,
Ridgefield Park,07660,Bergen,40.856749,-74.02278,Ridgefield Park Village,0250,2.98,3.18,3.27,3.4,3.56,2.88,3.08,3.35,3.69,3.86,4.09,2.362,2.402,2.509,3.255,3.341,3.385,3.458,3.55,3.624,3.723,3.848,3.939,,2.8%
Ridgewood,07450,Bergen,40.983997,-74.11438,Ridgewood Village,0251,2.71,2.83,2.98,3.08,2.12,2.24,2.34,2.46,2.56,2.67,2.8,1.723,1.792,1.887,1.956,2.019,2.356,2.385,2.433,2.476,2.538,2.565,2.597,,1.8%
River Edge,07661,Bergen,40.927579,-74.03739,River Edge Borough,0252,2.5,2.57,2.76,2.83,2.99,3.13,3.36,3.6,1.93,2.09,2.22,2.316,2.442,2.565,2.671,3.065,3.132,3.223,3.217,3.286,3.362,3.395,3.468,,1.5%
Rochelle Park,07662,Bergen,40.906553,-74.07797,Rochelle Park Township,0254,2.33,2.36,2.45,2.58,2.73,1.8,2.06,2.14,2.18,2.38,2.49,2.593,2.695,1.947,2.013,2.06,2.114,2.21,2.367,2.37,2.398,2.46,2.527,,2.9%
Rutherford,07070,Bergen,40.828922,-74.11064,Rutherford Borough,0256,2.73,2.76,2.91,3.02,3.12,3.22,3.41,3.52,3.71,1.77,1.96,2.041,2.107,2.212,2.267,2.337,2.382,2.454,2.533,2.604,2.663,2.701,2.739,,2.3%
Saddle Brook,07663,Bergen,40.904131,-74.09474,Saddle Brook Township,0257,2.12,2.16,2.19,2.25,2.35,2.44,2.61,2.75,2.94,3.12,3.3,3.525,1.885,2.022,2.142,2.185,2.579,2.62,2.715,2.865,2.578,2.537,2.593,,-0.2%
Saddle River,07458,Bergen,41.054568,-74.09616,Saddle River Borough,0258,0.88,0.93,0.99,1.07,1.15,0.72,0.72,0.75,0.78,0.8,0.84,0.883,0.914,0.94,0.953,0.971,0.979,0.977,0.987,1.019,1.013,0.906,0.921,,-1.1%
South Hackensack,07606,Bergen,40.863699,-74.04643,South Hackensack Township,0259,2.39,2.27,2.34,2.45,2.55,2.74,2.33,2.49,2.61,2.95,3.12,3.282,3.458,2.157,2.188,2.281,2.36,2.708,2.746,2.764,2.778,2.759,2.733,,0.2%
Teaneck,07666,Bergen,40.890964,-74.01115,Teaneck Township,0260,3.14,3.24,3.39,3.52,3.64,3.83,3.99,4.18,4.38,4.64,2.15,2.197,2.281,2.328,2.363,2.397,2.486,2.571,3.047,3.096,3.143,3.173,3.197,,4.9%
Tenafly,07670,Bergen,40.92169,-73.96482,Tenafly Borough,0261,2.58,2.62,2.68,2.78,2.92,3.07,1.91,2.04,2.15,2.3,2.43,2.585,2.68,2.752,2.256,2.297,2.332,2.373,2.418,2.473,2.523,2.532,2.572,,1.7%
Teterboro,07608,Bergen,40.853723,-74.05987,Teterboro Borough,0262,1.18,1.25,1.34,1.36,1.35,1.32,1.36,0.96,1,1.01,1.08,0.944,0.983,1.284,1.278,1.327,1.348,1.291,1.2,1.086,1.138,1.155,1.104,,-2.9%
Township Of Washington,07676,Bergen,40.989508,-74.061302,Washington Township,0266,2.23,2.31,2.38,2.48,2.6,2.68,2.76,3.01,3.15,1.49,1.62,1.7,1.752,1.811,1.858,1.865,1.898,2.212,2.27,2.309,2.325,2.363,2.429,,2.0%
Waldwick,07463,Bergen,41.013109,-74.12231,Waldwick Borough,0264,2.82,2.87,2.94,3.03,3.1,3.23,3.44,3.74,1.81,1.96,2.09,2.158,2.228,2.325,2.381,2.42,2.454,2.51,2.572,2.602,2.656,2.679,2.766,,2.0%
Wallington,07057,Bergen,40.852931,-74.10925,Wallington Borough,0265,2.38,2.51,2.47,2.45,2.49,2.56,2.72,2.91,3.13,3.37,3.6,1.691,1.764,1.837,2.073,2.133,2.206,2.596,2.736,2.858,2.915,2.952,2.987,,3.0%
Westwood,07675,Bergen,40.99904,-74.03291,Westwood Borough,0267,2.61,2.63,2.68,2.73,2.8,2.93,3.12,1.75,1.89,1.97,2.03,2.093,2.133,2.231,2.325,2.411,2.463,2.492,2.544,2.627,2.509,2.483,2.52,,0.2%
