2018 Average Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
03,ALLENTOWN BORO,19 ,"5,827,395 ","306,705 "
04,ASBURY PARK CITY,88 ,"32,927,627 ","374,178 "
05,ATLANTIC HIGHLANDS BORO,27 ,"10,074,350 ","373,124 "
06,AVON BY THE SEA BORO,34 ,"34,767,650 ","1,022,578 "
07,BELMAR BORO,93 ,"61,376,090 ","659,958 "
08,BRADLEY BEACH BORO,24 ,"12,096,145 ","504,006 "
09,BRIELLE BORO,28 ,"18,294,650 ","653,380 "
10,COLTS NECK TOWNSHIP,38 ,"34,773,450 ","915,091 "
11,DEAL BORO,12 ,"30,703,500 ","2,558,625 "
12,EATONTOWN BORO,62 ,"23,718,255 ","382,553 "
13,ENGLISHTOWN BORO,5 ,"1,168,000 ","233,600 "
14,FAIR HAVEN BORO,37 ,"30,576,499 ","826,392 "
15,FARMINGDALE BORO,0 ,0 ,0 
16,FREEHOLD BORO,47 ,"13,081,400 ","278,328 "
17,FREEHOLD TWP,127 ,"51,100,668 ","402,367 "
18,HAZLET TWP,81 ,"28,659,587 ","353,822 "
19,HIGHLANDS BORO,113 ,"33,311,074 ","294,788 "
20,HOLMDEL TWP,82 ,"56,398,527 ","687,787 "
21,HOWELL TWP,216 ,"79,901,489 ","369,914 "
22,INTERLAKEN BORO,7 ,"7,366,500 ","1,052,357 "
23,KEANSBURG BORO,57 ,"10,030,400 ","175,972 "
24,KEYPORT BORO,23 ,"6,490,557 ","282,198 "
25,LITTLE SILVER BORO,55 ,"39,189,190 ","712,531 "
26,LOCH ARBOUR VILLAGE,0 ,0 ,0 
27,LONG BRANCH CITY,127 ,"63,246,038 ","498,000 "
28,MANALAPAN TWP,194 ,"81,852,375 ","421,919 "
29,MANASQUAN BORO,105 ,"78,148,344 ","744,270 "
30,MARLBORO TWP,443 ,"242,837,512 ","548,166 "
31,MATAWAN BORO,30 ,"10,934,500 ","364,483 "
32,MIDDLETOWN TWP,264 ,"113,226,760 ","428,889 "
33,MILLSTONE TWP,85 ,"50,568,250 ","594,921 "
34,MONMOUTH BEACH BORO,39 ,"27,009,500 ","692,551 "
35,NEPTUNE TWP,104 ,"41,662,773 ","400,604 "
36,NEPTUNE CITY BORO,15 ,"4,250,500 ","283,367 "
37,OCEAN TWP,153 ,"75,885,115 ","495,981 "
38,OCEANPORT BORO,34 ,"16,952,750 ","498,610 "
39,RED BANK BORO,79 ,"33,847,400 ","428,448 "
40,ROOSEVELT BORO,3 ,"821,000 ","273,667 "
41,RUMSON BORO,57 ,"83,817,499 ","1,470,482 "
42,SEA BRIGHT BORO,26 ,"12,560,830 ","483,109 "
43,SEA GIRT BORO,17 ,"34,707,000 ","2,041,588 "
44,SHREWSBURY BORO,24 ,"12,957,900 ","539,913 "
45,SHREWSBURY TWP,0 ,0 ,0 
46,LAKE COMO BORO,22 ,"10,567,500 ","480,341 "
47,SPRING LAKE BORO,37 ,"93,056,633 ","2,515,044 "
48,SPRING LAKE HEIGHTS BOR,38 ,"20,403,700 ","536,939 "
49,TINTON FALLS BORO,97 ,"31,819,216 ","328,033 "
50,UNION BEACH BORO,16 ,"4,463,150 ","278,947 "
51,UPPER FREEHOLD TWP,23 ,"11,393,000 ","495,348 "
52,WALL TWP,385 ,"205,078,639 ","532,672 "
53,WEST LONG BRANCH BORO,29 ,"14,886,800 ","513,338 "
,MONMOUTH COUNTY,"3,813 ","2,035,657,242 ","533,873 "
,,,,
14,MORRIS COUNTY,,,
01,BOONTON TOWN,91 ,"36,016,750 ","395,788 "
02,BOONTON TWP,43 ,"27,310,500 ","635,128 "
03,BUTLER BORO,89 ,"28,794,750 ","323,537 "
04,CHATHAM BORO,111 ,"95,243,598 ","858,050 "
05,CHATHAM TWP,162 ,"164,836,268 ","1,017,508 "
06,CHESTER BORO,5 ,"2,715,000 ","543,000 "
07,CHESTER TWP,89 ,"67,114,415 ","754,095 "
08,DENVILLE TWP,211 ,"99,261,349 ","470,433 "
09,DOVER TOWN,77 ,"20,130,200 ","261,431 "
10,EAST HANOVER TWP,75 ,"39,286,320 ","523,818 "
11,FLORHAM PARK BORO,100 ,"66,183,276 ","661,833 "
12,HANOVER TWP,135 ,"63,244,540 ","468,478 "
13,HARDING TWP,40 ,"58,059,593 ","1,451,490 "
14,JEFFERSON TWP,80 ,"25,441,475 ","318,018 "
15,KINNELON BORO,111 ,"66,678,525 ","600,707 "
16,LINCOLN PARK BORO,139 ,"46,204,625 ","332,407 "
17,MADISON BORO,187 ,"154,656,305 ","827,039 "
18,MENDHAM BORO,68 ,"45,913,199 ","675,194 "
19,MENDHAM TWP,89 ,"81,849,188 ","919,654 "
20,MINE HILL TWP,51 ,"16,227,599 ","318,188 "
21,MONTVILLE TWP,230 ,"138,157,368 ","600,684 "
22,MORRIS TWP,248 ,"147,527,527 ","594,869 "
23,MORRIS PLAINS BORO,90 ,"42,720,739 ","474,675 "
24,MORRISTOWN TOWN,88 ,"43,125,999 ","490,068 "
