,City,Lat,Lon,# of Sales,Total Sales Price,Avg Sale Price
22,READINGTON TWP,40.563654,-74.949409,154,"$65,985,778.00 ","428,479"
23,STOCKTON BORO,40.500254,-74.4257,5,"$1,431,000.00 ","286,200"
24,TEWKSBURY TWP,40.500254,-74.4257,68,"$49,170,320.00 ","723,093"
25,UNION TWP,40.500254,-74.4257,59,"$19,954,063.00 ","338,204"
26,WEST AMWELL TWP,40.500254,-74.4257,8,"$3,445,000.00 ","430,625"
1,EAST WINDSOR TWP,40.770933,-74.20589,300,"$85,799,618.00 ","285,999"
2,EWING TWP,40.827499,-74.28091,313,"$61,934,225.00 ","197,873"
3,HAMILTON TWP,40.80495,-74.2047,723,"$166,128,779.00 ","229,777"
4,HIGHTSTOWN BORO,40.745951,-74.15509,47,"$9,821,500.00 ","208,968"
5,HOPEWELL BORO,40.744851,-74.03294,24,"$10,813,900.00 ","450,579"
6,HOPEWELL TWP,40.744851,-74.03294,240,"$120,256,542.00 ","501,069"
7,LAWRENCE TWP,40.744851,-74.03294,314,"$101,436,249.00 ","323,045"
8,PENNINGTON BORO,40.461851,-74.30343,46,"$23,805,100.00 ","517,502"
11,TRENTON CITY,40.500254,-74.4257,167,"$11,128,312.00 ","66,637"
12,ROBBINSVILLE TWP,40.563654,-74.949409,222,"$86,124,096.00 ","387,946"
13,WEST WINDSOR TWP,40.500254,-74.4257,351,"$198,293,547.00 ","564,939"
14,PRINCETON,40.583035,-74.96224,252,"$249,536,453.00 ","990,224"
1,CARTERET BORO,40.582504,-74.22997,51,"$13,483,850.00 ","264,389"
2,CRANBURY TWP,40.879699,-74.14263,49,"$32,017,500.00 ","653,418"
3,DUNELLEN BORO,40.656302,-74.30371,67,"$16,948,999.00 ","252,970"
4,EAST BRUNSWICK TWP,40.656302,-74.30371,514,"$178,675,078.00 ","347,617"
5,EDISON TWP,40.830733,-73.97334,901,"$342,663,880.00 ","380,315"
6,HELMETTA BORO,40.745951,-74.15509,33,"$6,824,318.00 ","206,798"
7,HIGHLAND PARK BORO,40.745951,-74.15509,95,"$32,508,100.00 ","342,191"
8,JAMESBURG BORO,40.744851,-74.03294,61,"$14,363,500.00 ","235,467"
9,METUCHEN BORO,40.502477,-74.650023,140,"$57,686,086.00 ","412,043"
10,MIDDLESEX BORO,40.574552,-74.50187,124,"$34,341,977.00 ","276,951"
11,MILLTOWN BORO,40.451105,-74.43938,95,"$30,744,100.00 ","323,622"
12,MONROE TWP,40.389428,-74.54329,702,"$242,293,403.00 ","345,147"
13,NEW BRUNSWICK CITY,40.51057,-74.72472,62,"$19,201,430.00 ","309,700"
14,NORTH BRUNSWICK TWP,40.51057,-74.72472,298,"$89,513,311.00 ","300,380"
15,OLD BRIDGE TWP,40.51057,-74.72472,635,"$204,844,174.00 ","322,589"
16,PERTH AMBOY CITY,40.535304,-74.31104,163,"$37,959,195.00 ","232,878"
17,PISCATAWAY TWP,40.689123,-75.17243,345,"$107,095,834.00 ","310,423"
18,PLAINSBORO TWP,40.583035,-74.96224,292,"$119,577,407.00 ","409,512"
19,SAYREVILLE BORO,40.430006,-74.417344,354,"$104,607,699.00 ","295,502"
20,SOUTH AMBOY CITY,40.469606,-74.27669,102,"$31,551,600.00 ","309,329"
21,SOUTH BRUNSWICK TWP,40.553803,-74.52976,424,"$174,865,120.00 ","412,418"
22,SOUTH PLAINFIELD BORO,40.553803,-74.52976,197,"$63,039,741.00 ","319,999"
23,SOUTH RIVER BORO,40.445006,-74.38179,117,"$34,605,363.00 ","295,772"
