,Zip Code,City,County,Latitude,Longitude,Walkability
393,8015,Browns Mills,Burlington,39.960596,-74.5606,0
394,8016,Burlington,Burlington,40.06834,-74.84463000000001,26
395,8018,Cedar Brook,Camden,39.80237,-74.938259,52
396,8019,Chatsworth,Burlington,39.777314000000004,-74.5354,0
397,8020,Clarksboro,Gloucester,39.800958,-75.2211,16
398,8021,Clementon,Camden,39.810485,-74.99574,37
399,8022,Columbus,Burlington,40.079952,-74.70684,6
400,8023,Deepwater,Salem,39.683577,-75.48931999999999,24
401,8025,Ewan,Gloucester,39.701526,-75.162903,0
402,8026,Gibbsboro,Camden,39.833847,-74.96899,15
403,8027,Gibbstown,Gloucester,39.824159,-75.28187,37
404,8028,Glassboro,Gloucester,39.700008000000004,-75.11950999999999,43
405,8029,Glendora,Camden,39.840463,-75.0687,73
406,8030,Gloucester City,Camden,39.891113,-75.11836,60
407,8031,Bellmawr,Camden,39.867013,-75.09161999999999,47
408,8032,Grenloch,Gloucester,39.781264,-75.0609,25
409,8033,Haddonfield,Camden,39.895213,-75.04019,69
410,8034,Cherry Hill,Camden,39.908613,-74.99951,61
411,8035,Haddon Heights,Camden,39.879129999999996,-75.06599,57
412,8036,Hainesport,Burlington,39.985662,-74.83044,17
413,8037,Hammonton,Atlantic,39.625291,-74.77705,17
414,8038,Hancocks Bridge,Salem,39.481009,-75.50618,0
415,8039,Harrisonville,Gloucester,39.685445,-75.2669,3
416,8041,Jobstown,Burlington,40.038339,-74.6806,1
417,8042,Juliustown,Burlington,40.018503,-74.66656,2
418,8043,Voorhees,Camden,39.851969,-74.96128,3
419,8045,Lawnside,Camden,39.866513,-75.03197,33
420,8046,Willingboro,Burlington,40.029011,-74.88257,48
421,8048,Lumberton,Burlington,39.967013,-74.80666,11
422,8049,Magnolia,Camden,39.85478,-75.03671,50
423,8050,Manahawkin,Ocean,39.707575,-74.25933,17
424,8051,Mantua,Gloucester,39.785785,-75.17761,34
425,8052,Maple Shade,Burlington,39.952212,-74.99464,66
426,8053,Marlton,Burlington,39.884879999999995,-74.90416,15
427,8054,Mount Laurel,Burlington,39.949446,-74.90342,8
428,8055,Medford,Burlington,39.865272,-74.8185,8
429,8056,Mickleton,Gloucester,39.785219,-75.25304,2
430,8057,Moorestown,Burlington,39.968962,-74.9489,55
431,8059,Mount Ephraim,Camden,39.884263,-75.0923,43
432,8060,Mount Holly,Burlington,39.991562,-74.79746999999999,48
433,8061,Mount Royal,Gloucester,39.807684,-75.20496,18
434,8062,Mullica Hill,Gloucester,39.716939,-75.21987,13
435,8063,National Park,Gloucester,39.867158,-75.1802,52
436,8064,New Lisbon,Burlington,39.961921000000004,-74.63687,0
437,8065,Palmyra,Burlington,40.00278,-75.02626,66
438,8066,Paulsboro,Gloucester,39.833156,-75.23773,45
439,8067,Pedricktown,Salem,39.740353000000006,-75.41261999999999,9
440,8068,Pemberton,Burlington,39.961183,-74.66266,0
441,8069,Penns Grove,Salem,39.712593,-75.46906,40
442,8070,Pennsville,Salem,39.645377,-75.51923000000001,44
443,8071,Pitman,Gloucester,39.730964,-75.13009,66
444,8072,Quinton,Salem,39.546172,-75.41367,6
445,8073,Rancocas,Burlington,40.010461,-74.86762,28
446,8074,Richwood,Gloucester,39.716194,-75.17326,2
447,8075,Riverside,Burlington,40.029361,-74.9541,48
448,8076,Riverton,Burlington,39.862433,-74.72507900000001,10
449,8077,Riverton,Burlington,39.997378999999995,-74.99805,31
450,8078,Runnemede,Camden,39.850013,-75.0767,64
451,8079,Salem,Salem,39.549912,-75.43943,0
452,8080,Sewell,Gloucester,39.74953,-75.10637,15
453,8081,Sicklerville,Camden,39.741385,-74.99035,26
454,8083,Somerdale,Camden,39.842613,-75.02496,45
455,8084,Stratford,Camden,39.829014,-75.01371,36
456,8085,Swedesboro,Gloucester,39.753088,-75.32687,1
457,8086,Thorofare,Gloucester,39.849156,-75.18159,32
458,8087,Tuckerton,Ocean,39.59899,-74.36573,36
459,8088,Vincentown,Burlington,39.871699,-74.70528,0
460,8089,Waterford Works,Camden,39.722621999999994,-74.8503,14
461,8090,Wenonah,Gloucester,39.799347,-75.15202,16
462,8091,West Berlin,Camden,39.807695,-74.93392,64
463,8092,West Creek,Ocean,39.658781,-74.28673,13
464,8093,Westville,Gloucester,39.861413,-75.13284,44
